hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
6863,CC(O)CCl,YYTSGNJTASLUOY-UHFFFAOYSA-N,6.0,100.0,EUR,18.0,10,Enamine,Global catalog,EN300-39011,CC(O)CCl,,6,6,"[4458, 4757, 13556, 15352, 15445, 16386]","[318, 332, 7003, 7302, 18661, 19602]",Nucleophilic_substitution_with_amine,"[318, 412, 421]"
18481,NCc1cccc(Cn2cnc3ccccc32)c1,RCSBTARKNQPCPD-UHFFFAOYSA-N,20.0,20.0,EUR,39.0,5,Enamine,Stock,EN300-52655,Cl.Cl.NCC=1C=CC=C(C1)CN2C=NC=3C=CC=CC32,0.95,20,20,"[15352, 15353, 15354, 15356, 15377, 15399, 15402, 15408, 15410, 15414, 15415, 15416, 15488, 15563, 15611, 15634, 15636, 15677, 15840, 16066]","[318, 18569, 18570, 18572, 18593, 18615, 18618, 18624, 18626, 18630, 18631, 18632, 18704, 18779, 18827, 18850, 18852, 18893, 19056, 19282]",Nucleophilic_substitution_with_amine,[318]
16598,NCc1cccnc1-n1cnc2ccccc21,GXJFRPGUUIVNAL-UHFFFAOYSA-N,20.0,20.0,EUR,95.0,5,Enamine,Stock,EN300-69431,Cl.Cl.NCC=1C=CC=NC1N2C=NC=3C=CC=CC32,0.95,20,20,"[13556, 13557, 13559, 13562, 13564, 13566, 13580, 13613, 13616, 13618, 13626, 13639, 13685, 13713, 13744, 13766, 13823, 14044, 14063, 14450]","[332, 16686, 16688, 16691, 16693, 16695, 16709, 16742, 16745, 16747, 16755, 16768, 16814, 16842, 16873, 16895, 16952, 17173, 17192, 17579]",Nucleophilic_substitution_with_amine,[332]
3134,CC(O)CN,HXKKHQJGJAFBHI-UHFFFAOYSA-N,14.0,14.0,EUR,14.0,5,Enamine,Stock,EN300-117430,C[C@@H](O)CN,0.95,14,14,"[7022, 7038, 7048, 7091, 7117, 7123, 7137, 7862, 7964, 8156, 11079, 11263, 11805, 12174]","[410, 411, 412, 413, 421, 9852, 9895, 9921, 10629, 10727, 10912, 14242, 14784, 15153]",Reductive_amination,"[412, 421]"
13945,O=Cc1nc2ccccc2n1C1CC1,CFERBSZRGSOXQU-UHFFFAOYSA-N,25.0,25.0,EUR,15.0,5,Enamine,Stock,EN300-45544,O=CC1=NC=2C=CC=CC2N1C3CC3,0.95,25,25,"[11064, 11079, 11080, 11543, 11544, 11546, 11569, 11570, 11576, 11577, 11578, 11579, 11581, 11587, 11588, 11590, 11591, 11594, 11595, 11596, 11597, 11599, 11601, 11605, 11747]","[410, 14044, 14059, 14522, 14523, 14525, 14548, 14549, 14555, 14556, 14557, 14558, 14560, 14566, 14567, 14569, 14570, 14573, 14574, 14575, 14576, 14578, 14580, 14584, 14726]",Reductive_amination,[421]
9688,Cn1c(C=O)nc2cc(F)ccc21,OMNSOHIJXAYQPS-UHFFFAOYSA-N,38.0,38.0,EUR,162.0,5,Enamine,Stock,EN300-3043452,CN1C(C=O)=NC=2C=C(F)C=CC21,0.95,38,38,"[7038, 7039, 7040, 8476, 8480, 8481, 8512, 8514, 8516, 8519, 8520, 8521, 8522, 8525, 8526, 8533, 8534, 8535, 8536, 8537, 8538, 12550, 12551, 12552, 12554, 12558, 12559, 12561, 12562, 12564, 12565, 12567, 12568, 12575, 12578, 12581, 12583, 12585]","[411, 7301, 9843, 9844, 11217, 11221, 11222, 11251, 11253, 11255, 11258, 11259, 11260, 11261, 11264, 11265, 11270, 11271, 11272, 11273, 11274, 15566, 15567, 15568, 15570, 15574, 15575, 15577, 15578, 15580, 15581, 15583, 15584, 15591, 15594, 15597, 15599, 15601]",Reductive_amination,"[411, 412]"
9684,Cn1c(C=O)nc2ccccc21,SIRPHJCQZYVEES-UHFFFAOYSA-N,36.0,36.0,EUR,14.0,5,Enamine,Stock,EN300-51834,CN1C(C=O)=NC2=CC=CC=C21,0.95,36,36,"[7022, 7027, 7028, 7147, 7148, 7150, 7152, 7156, 7157, 7158, 7159, 7163, 7168, 7170, 7176, 7178, 7197, 7199, 7203, 7210, 8317, 8319, 8336, 8338, 8339, 8341, 8342, 8345, 8346, 8347, 8349, 8351, 8423, 8425, 8465, 8473]","[412, 7108, 7189, 7223, 9832, 9833, 9947, 9948, 9950, 9952, 9956, 9957, 9958, 9959, 9963, 9968, 9970, 9976, 9977, 9996, 9998, 10002, 10009, 11068, 11085, 11087, 11088, 11090, 11093, 11094, 11095, 11097, 11099, 11168, 11207, 11215]",Reductive_amination,[412]
9709,Cn1c(C=O)nc2cc(Cl)ccc21,LIJXFEZWIFQFLT-UHFFFAOYSA-N,21.0,21.0,EUR,22.0,5,Enamine,Stock,EN300-115629,CN1C(C=O)=NC=2C=C(Cl)C=CC21,0.95,21,21,"[7123, 7124, 7126, 7214, 7215, 7217, 7221, 7222, 7223, 7224, 7227, 7228, 7229, 7230, 7231, 7233, 7285, 7335, 7345, 7352, 7354]","[413, 7312, 9927, 9929, 10013, 10014, 10016, 10020, 10021, 10022, 10023, 10026, 10027, 10028, 10029, 10031, 10080, 10128, 10138, 10143, 10145]",Reductive_amination,[412]
9710,CCn1c(C=O)nc2ccccc21,ZIOUQTZLLSBGDM-UHFFFAOYSA-N,37.0,38.0,EUR,18.0,5,Enamine,Stock,EN300-45541,CCN1C(C=O)=NC=2C=CC=CC21,0.95,37,37,"[7127, 7130, 7137, 7383, 7517, 7563, 7566, 7567, 7573, 7580, 7581, 7582, 7583, 7585, 7586, 7589, 7590, 7591, 7592, 12050, 12052, 12053, 12055, 12056, 12057, 12199, 12200, 12202, 12205, 12206, 12219, 12224, 12234, 12235, 12253, 12262, 12264]","[421, 9930, 9933, 10173, 10302, 10344, 10347, 10348, 10352, 10359, 10360, 10361, 10362, 10364, 10365, 10368, 10369, 10370, 10371, 15029, 15031, 15032, 15034, 15035, 15036, 15178, 15179, 15181, 15184, 15185, 15198, 15203, 15213, 15214, 15232, 15241, 15243]",Reductive_amination,"[412, 421]"
22130,O=C(O)CC(c1ccccc1)c1ccccc1,BZQGAPWJKAYCHR-UHFFFAOYSA-N,6.0,7.0,EUR,14.0,5,Enamine,Stock,EN300-20316,O=C(O)CC(C=1C=CC=CC1)C=2C=CC=CC2,0.95,6,6,"[18774, 18848, 18857, 18866, 18872, 20170]","[554, 22394, 22403, 22412, 22418, 23716]",Amidation,[554]
22230,Nc1cccc2[nH]ccc12,LUNUNJFSHKSXGQ-UHFFFAOYSA-N,6.0,6.0,EUR,14.0,5,Enamine,Stock,EN300-61787,NC=1C=CC=C2NC=CC12,0.95,6,6,"[18774, 18775, 18817, 18826, 18828, 18832]","[554, 22321, 22363, 22372, 22374, 22378]",Amidation,[554]
8761,CC1CCC(C(C)(O)CN)CC1,ZTMIMKSAYWGSAU-UHFFFAOYSA-N,9.0,11.0,EUR,111.0,5,Enamine,Stock,EN300-6764446,Cl.CC1CCC(CC1)C(C)(O)CN,0.95,9,9,"[6041, 6577, 6594, 6603, 6606, 6611, 6628, 6638, 6644]","[973, 8834, 8841, 8870, 8871, 8878, 8894, 8904, 9466]",Nucleophilic_substitution_with_amine,[973]
9427,ClCc1cn2ccccc2n1,LBCREEUWXFNSAC-UHFFFAOYSA-N,3.0,3.0,EUR,14.0,5,Enamine,Stock,EN300-11109,Cl.ClCC1=CN2C=CC=CC2=N1,0.95,3,3,"[6577, 6701, 6703]","[973, 8931, 8933]",Nucleophilic_substitution_with_amine,[973]
12068,OCc1cnc2sccn12,CGNHKTWBASPCLB-UHFFFAOYSA-N,2.0,2.0,EUR,50.0,5,Enamine,Stock,EN300-1716639,OCC1=CN=C2SC=CN12,0.95,2,2,"[9333, 9337]","[980, 12245]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[980]
12159,COc1ccccc1OC(C)CN,BIWHLVXMIXGLJA-UHFFFAOYSA-N,5.0,6.0,EUR,48.0,5,Enamine,Stock,EN300-93210,COC=1C=CC=CC1OC(C)CN,0.95,5,5,"[9333, 9348, 9376, 9549, 9699]","[980, 12256, 12284, 12457, 12607]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[980]
3043,Cc1nc2ccccc2n1CCBr,VCPOOQOJBVTOGU-UHFFFAOYSA-N,22.0,50.0,EUR,84.0,2,Enamine,EU stock,EN300-45482,Br.Cc1nc2ccccc2n1CCBr,,22,22,"[1159, 2390, 2397, 28071, 28843, 29070, 29139, 29925, 29926, 29928, 29931, 29934, 29940, 29944, 29947, 29948, 29950, 29954, 29955, 29956, 29960, 29962]","[3573, 4804, 4811, 31993, 32765, 32992, 33068, 33853, 33854, 33856, 33859, 33862, 33868, 33872, 33875, 33876, 33878, 33882, 33883, 33884, 33888, 33890]",Nucleophilic_substitution_with_amine,"[843, 848]"
3136,NC1CC1O,BPRCXDKVLIAUTK-UHFFFAOYSA-N,15.0,15.0,EUR,128.0,5,Enamine,Stock,EN300-33211938,"Cl.N[C@@H]1C[C@H]1O |&1:2,4,r|",0.95,15,15,"[1159, 7027, 7039, 7047, 7092, 7122, 7124, 7130, 7886, 7965, 8155, 11080, 11262, 11804, 12175]","[3573, 9832, 9843, 9851, 9896, 9926, 9927, 9933, 10653, 10728, 10911, 14059, 14241, 14783, 15154]","Reductive_amination, Nucleophilic_substitution_with_amine","[411, 412, 421, 843, 848]"
3185,NCC(O)CO,KQIGMPWTAHJUMN-UHFFFAOYSA-N,12.0,12.0,EUR,14.0,5,Enamine,Stock,EN300-50845,NCC(O)CO,0.95,12,12,"[2390, 7197, 7233, 7261, 7361, 7580, 7843, 8476, 8683, 8752, 11543, 12017]","[4804, 9996, 10031, 10058, 10152, 10359, 10612, 11217, 11418, 11487, 14522, 14996]","Reductive_amination, Nucleophilic_substitution_with_amine","[411, 412, 421, 843]"
3175,CC(N)C(C)O,FERWBXLFSBWTDE-UHFFFAOYSA-N,12.0,12.0,EUR,28.0,5,Enamine,Stock,EN300-72272,CC(N)C(C)O,0.95,12,12,"[2397, 7210, 7231, 7251, 7363, 7582, 7911, 8534, 8668, 8730, 11546, 12019]","[4811, 10009, 10029, 10048, 10154, 10361, 10676, 11271, 11403, 11465, 14525, 14998]","Reductive_amination, Nucleophilic_substitution_with_amine","[411, 412, 421, 848]"
6854,ClCC1CO1,BRLQWZUYTZBJKN-UHFFFAOYSA-N,6.0,6.0,EUR,14.0,5,Enamine,Stock,EN300-54611,ClC[C@H]1CO1,0.95,6,6,"[4440, 4753, 13557, 15353, 15467, 16372]","[6985, 7298, 16686, 18569, 18683, 19588]",Nucleophilic_substitution_with_amine,"[318, 332, 412, 421]"
6909,CNCc1nc2ccccc2n1C,NCXZCKSFAVXJJR-UHFFFAOYSA-N,4.0,4.0,EUR,15.0,5,Enamine,Stock,EN300-74680,Cl.Cl.CNCC1=NC=2C=CC=CC2N1C,0.95,4,4,"[4440, 4458, 4465, 4607]","[6985, 7003, 7010, 7152]",Nucleophilic_substitution_with_amine,[412]
6852,OC1CC1Cl,FPRZZQZXVVNHMP-UHFFFAOYSA-N,6.0,6.0,EUR,230.0,5,Enamine,Stock,EN300-761649,"O[C@H]1C[C@H]1Cl |&1:1,3,r|",0.95,6,6,"[4465, 4664, 13559, 15354, 15389, 16091]","[7010, 7209, 16688, 18570, 18605, 19307]",Nucleophilic_substitution_with_amine,"[318, 332, 412, 421]"
