hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
318,CC(O)CNCc1cccc(Cn2cnc3ccccc32)c1,JUOHPSFGSZHWSU-UHFFFAOYSA-N,1,4,"{305, 306, 23860, 23861}","['iter1 scaffold', 'iter1 scaffolds', 'elaborated iter1 scaffold']",1,{1},[15352],"{18481, 6863}",[1],Nucleophilic_substitution_with_amine,True,[318],"A0503a, A0759a"
332,CC(O)CNCc1cccnc1-n1cnc2ccccc21,XVPJEXHCKXPYIT-UHFFFAOYSA-N,1,3,"{21156, 371, 372}","['iter1 scaffold', 'iter1 scaffolds', 'elaborated iter1 scaffold']",1,{1},[13556],"{16598, 6863}",[2],Nucleophilic_substitution_with_amine,True,[332],"A0503a, A0759a"
410,CC(O)CNCc1nc2ccccc2n1C1CC1,UJJZAJLFYCQYSJ-UHFFFAOYSA-N,1,4,"{465, 466, 15819, 15818}",[],1,{1},[11079],"{13945, 3134}",[3],Reductive_amination,False,[421],"A0503a, A0759a"
411,CC(O)CNCc1nc2cc(F)ccc2n1C,NWIXKFJBQIDTEM-UHFFFAOYSA-N,1,4,"{7744, 467, 468, 18733}","['iter1 scaffold', 'iter1 scaffolds', 'elaborated iter1 scaffold']",1,{1},[7038],"{9688, 3134}",[4],Reductive_amination,False,[412],"A0503a, A0759a"
412,CC(O)CNCc1nc2ccccc2n1C,MVTGOQDBIJSKPE-UHFFFAOYSA-N,1,3,"{7717, 469, 470}","['iter1 scaffold', 'iter1 scaffolds', 'elaborated iter1 scaffold']",1,{1},[7022],"{9684, 3134}",[5],Reductive_amination,True,[412],"A0503a, A0759a"
413,CC(O)CNCc1nc2cc(Cl)ccc2n1C,ZPQAGGHNWGPRIN-UHFFFAOYSA-N,1,3,"{472, 7901, 471}",[],1,{1},[7123],"{9709, 3134}",[6],Reductive_amination,False,[412],"A0503a, A0759a"
421,CCn1c(CNCC(C)O)nc2ccccc21,YFPGSEQYEDBGPH-UHFFFAOYSA-N,1,5,"{483, 484, 7925, 15577, 15578}","['iter1 scaffold', 'iter1 scaffolds', 'elaborated iter1 scaffold']",1,{1},[7137],"{9710, 3134}",[7],Reductive_amination,False,[412],"A0503a, A0759a"
554,O=C(CC(c1ccccc1)c1ccccc1)Nc1cccc2[nH]ccc12,PMMASMGHJOEHPC-UHFFFAOYSA-N,1,3,"{27961, 244, 246}","['iter1 scaffold', 'iter1 scaffolds', 'elaborated iter1 scaffold']",1,{1},[18774],"{22130, 22230}",[8],Amidation,True,[554],"A0229a, A0503a"
973,CC1CCC(C(C)(O)CNCc2cn3ccccc3n2)CC1,OYFZSXUCDDDLSQ-UHFFFAOYSA-N,1,2,"{801, 802}","['iter1 scaffold', 'iter1 scaffolds', 'elaborated iter1 scaffold']",1,{1},[6577],"{8761, 9427}",[10],Nucleophilic_substitution_with_amine,True,[973],"A0503a, A0759a"
980,COc1ccccc1OC(C)CNCc1cnc2sccn12,NWNDXWKRJDTNKY-UHFFFAOYSA-N,1,3,"{11112, 813, 814}","['iter1 scaffold', 'iter1 scaffolds', 'elaborated iter1 scaffold']",1,{1},[9333],"{12068, 12159}",[11],Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,True,[980],"A0503a, A0759a"
3556,Cc1nc2ccccc2n1CCNC(C)CO,NPWXQYWWCODPRA-UHFFFAOYSA-N,1,2,"{31701, 31702}",[],1,{1},[1142],"{3043, 3148}",[12],Nucleophilic_substitution_with_amine,False,[848],"A0503a, A0759a"
