smiles,0,1
CCC(CO)NCc1ccc2[nH]ccc2c1,A0229a,A0759a
CC(C)CN(CC(N)=O)Cc1ccc2[nH]ccc2c1,A0229a,A0759a
CCC(C)(C)NC(=O)C(C)NCCc1cc2ccccc2[nH]1,A0229a,A0759a
CC(C)(C)C(C)(O)CNCc1ccc2[nH]ccc2c1,A0229a,A0759a
CCC(C)C(NCc1cccc2cc[nH]c12)C(=O)NC,A0229a,A0759a
CC(C)C(C)(O)CNCc1cccc2[nH]ccc12,A0229a,A0759a
CNC(=O)CC(C)NCc1cccc2[nH]ccc12,A0229a,A0759a
CN(C)C(=O)CN(Cc1cccc2[nH]ccc12)CC(F)(F)F,A0229a,A0759a
CCC(O)CCN(C)Cc1cccc2[nH]ccc12,A0229a,A0759a
CCCC(O)CNCc1cccc2[nH]ccc12,A0229a,A0759a
CCC(NCC(=O)NCCC#N)c1cccc2cc[nH]c12,A0229a,A0759a
CC(CO)(NCc1c[nH]c2ccccc12)C(F)(F)F,A0229a,A0759a
CC(C)CCC(C)(O)CNCc1cccc2[nH]ccc12,A0229a,A0759a
CNC(CSc1cc2ccccc2[nH]1)C(N)=O,A0229a,A0759a
CN(Cc1ccc2cc[nH]c2c1)CC(C)(O)C(F)(F)C(F)(F)F,A0229a,A0759a
CCC(NC(C)C(=O)NCC(F)(F)F)c1cccc2cc[nH]c12,A0229a,A0759a
CC(C)CCC(O)CNCCc1cccc2[nH]ccc12,A0229a,A0759a
CC(O)CCNCc1cccc2[nH]ccc12,A0229a,A0759a
CCC(NCCCn1ccc2ccccc21)C(N)=O,A0229a,A0759a
CC(CCO)NCc1cccc2cc[nH]c12,A0229a,A0759a
CC(C)CC(O)CNCc1cccc2[nH]ccc12,A0229a,A0759a
CCC(O)(CC)CN(C)Cc1cccc2[nH]ccc12,A0229a,A0759a
OC(CCNCc1c[nH]c2ccccc12)C(F)(F)F,A0229a,A0759a
CCCC(O)(CN(C)Cc1ccc2cc[nH]c2c1)C(F)(F)F,A0229a,A0759a
CCC(O)C(CC)NCc1ccc2[nH]ccc2c1,A0229a,A0759a
CNC(=O)CC(C)N(C)Cc1ccc2[nH]ccc2c1,A0229a,A0759a
CC(NCC(O)C(F)(F)F)c1cc2ccccc2[nH]1,A0229a,A0759a
CCC(CO)NCc1ccc2cc[nH]c2c1,A0229a,A0759a
CCC(CC)C(O)CNCc1cccc2cc[nH]c12,A0229a,A0759a
CCN(CC(=O)NC(C)C)Cc1ccc2[nH]ccc2c1,A0229a,A0759a
CCCC(NCc1cc2ccccc2[nH]1)C(=O)N(C)C,A0229a,A0759a
CCC(NCc1cc2ccccc2[nH]1)C(=O)NC,A0229a,A0759a
CC(NCc1cc2ccccc2[nH]1)C(C)(C)O,A0229a,A0759a
OCCCNCc1cccc2cc[nH]c12,A0229a,A0759a
CCNC(=O)C(C)NCc1c[nH]c2ccccc12,A0229a,A0759a
CC(CCO)NCc1cccc2[nH]ccc12,A0229a,A0759a
CC(C)(CO)NCC(C)(C)c1c[nH]c2ccccc12,A0229a,A0759a
CCC(C)(CO)NCc1cccc2[nH]ccc12,A0229a,A0759a
CN(CCC(N)=O)Cc1cc2ccccc2[nH]1,A0229a,A0759a
CCCC(O)CN(C)Cc1cc2ccccc2[nH]1,A0229a,A0759a
CC(C)C(CO)CNCc1c[nH]c2ccccc12,A0229a,A0759a
CCN(CC(=O)NC)Cc1ccc2[nH]ccc2c1,A0229a,A0759a
CC(C)(C)C(CO)NCc1ccc2[nH]ccc2c1,A0229a,A0759a
CC(CO)CNCc1cc2ccccc2[nH]1,A0229a,A0759a
CCCC(O)(CCC)CNCc1cccc2[nH]ccc12,A0229a,A0759a
CC(C)C(NCc1cccc2[nH]ccc12)C(C)(C)O,A0229a,A0759a
CC(C)CC(CO)NCc1c[nH]c2ccccc12,A0229a,A0759a
C=CCN(CC=C)C(=O)CN(C)Cc1cccc2cc[nH]c12,A0229a,A0759a
CCN(CCO)C(C#N)c1c[nH]c2ccccc12,A0229a,A0759a
CNC(=O)C(C)NCc1cc2ccccc2[nH]1,A0229a,A0759a
CCC(O)C(CC)NCc1cccc2[nH]ccc12,A0229a,A0759a
CCC(CO)CNCc1ccc2cc[nH]c2c1,A0229a,A0759a
CCCC(CO)NCCCn1ccc2ccccc21,A0229a,A0759a
OCCCNCc1cc2ccccc2[nH]1,A0229a,A0759a
CCCNC(=O)C(C)NC(C)CCc1c[nH]c2ccccc12,A0229a,A0759a
CC(O)C(C)(C)NCc1c[nH]c2ccccc12,A0229a,A0759a
CC(C)C(CO)CNCCc1c[nH]c2ccccc12,A0229a,A0759a
CNC(=O)CCNCc1cccc2[nH]ccc12,A0229a,A0759a
CCCNC(=O)C(CC)NC(C)c1cc2ccccc2[nH]1,A0229a,A0759a
CCCN(CCO)Cc1c[nH]c2ccccc12,A0229a,A0759a
CCCCN(CC(N)=O)Cc1cccc2[nH]ccc12,A0229a,A0759a
CN(C)C(=O)CCNC(c1c[nH]c2ccccc12)C(F)(F)F,A0229a,A0759a
CN(Cc1c[nH]c2ccccc12)CC(C)(C)CO,A0229a,A0759a
CC(C)(CCO)NCc1c[nH]c2ccccc12,A0229a,A0759a
