smiles,0,1
NC(=O)CCc1c[nH]c2ccccc12,A0229a,A0503a
NC(=O)CCn1ccc2ccccc21,A0229a,A0503a
NC(=O)CCc1csc(NC(=O)c2ccc3cc[nH]c3c2)n1,A0229a,A0503a
NC(=O)CCN1C(=O)c2ccccc2C1c1c[nH]c2ccccc12,A0229a,A0503a
NC(=O)CCn1cc(C=O)c2ccccc21,A0229a,A0503a
NC(=O)CCn1cc(C=O)c2ccc(Cl)cc21,A0229a,A0503a
CCCc1cccc2c(C#N)cn(CCC(N)=O)c12,A0229a,A0503a
NC(=O)CCn1ccc2cccc(Cl)c21,A0229a,A0503a
N#Cc1cn(CCC(N)=O)c2c(Cl)cccc12,A0229a,A0503a
CC(=O)c1cn(CCC(N)=O)c2c(Cl)cccc12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2c(Cl)cccc12,A0229a,A0503a
NC(=O)CCn1cc(CC(=O)O)c2cccc(Cl)c21,A0229a,A0503a
COc1cccc2c(C(C)=O)cn(CCC(N)=O)c12,A0229a,A0503a
COc1cccc2c(C#N)cn(CCC(N)=O)c12,A0229a,A0503a
NC(=O)CCn1cc(-c2ccc3[nH]c(C(F)(F)F)cc3c2)cn1,A0229a,A0503a
Cn1c(-c2cnn(CCC(N)=O)c2)cc2ccccc21,A0229a,A0503a
NC(=O)CCn1ccc(NC(=O)CCc2c[nH]c3ccccc23)n1,A0229a,A0503a
NC(=O)CCn1ccc(NC(=O)Nc2ccc3[nH]ccc3c2)n1,A0229a,A0503a
NC(=O)CCn1ccc(NC(=O)Nc2c[nH]c3ccccc23)n1,A0229a,A0503a
NC(=O)CCn1ccc(NCc2cc3ccccc3[nH]2)n1,A0229a,A0503a
NC(=O)CCn1ccc(NCc2cccc3[nH]ccc23)n1,A0229a,A0503a
NC(=O)CCn1ccc2c(Cl)cccc21,A0229a,A0503a
N#Cc1cn(CCC(N)=O)c2cccc(Cl)c12,A0229a,A0503a
CNCc1cn(CCC(N)=O)c2cccc(Cl)c12,A0229a,A0503a
CCNCc1cn(CCC(N)=O)c2cccc(Cl)c12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2cccc(Cl)c12,A0229a,A0503a
NC(=O)CCn1cc(CC(=O)O)c2c(Cl)cccc21,A0229a,A0503a
Cn1c(-c2cnn(CCC(N)=O)c2)cc2ccccc21,A0229a,A0503a
NC(=O)CCn1ccc(NC(=O)Nc2ccc3[nH]ccc3c2)n1,A0229a,A0503a
NC(=O)CCn1cc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)c2ccccc21,A0229a,A0503a
CC(=O)c1cn(CCC(N)=O)c2c(C)cccc12,A0229a,A0503a
Cc1cccc2c(CC(=O)O)cn(CCC(N)=O)c12,A0229a,A0503a
Cc1cccc2c(C#N)cn(CCC(N)=O)c12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2c(C)cccc12,A0229a,A0503a
Cc1cccc2c(CO)cn(CCC(N)=O)c12,A0229a,A0503a
NC(=O)CCn1cc(CO)c2ccccc21,A0229a,A0503a
Cc1cccc2c(CO)cn(CCC(N)=O)c12,A0229a,A0503a
NC(=O)CCn1cc(CO)c2cc(Cl)ccc21,A0229a,A0503a
NC(=O)CCn1cc(CO)c2ccc(Cl)cc21,A0229a,A0503a
CCOc1cccc2c(CO)cn(CCC(N)=O)c12,A0229a,A0503a
CCOc1cccc2c(CO)cn(CCC(N)=O)c12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2c(C)cccc12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2cc(C)ccc12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2cc(Cl)ccc12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2cccc(Cl)c12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2cccc(F)c12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2c(Cl)cccc12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2ccc(C)cc12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2cccc(C)c12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2cc(F)ccc12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2ccc(Cl)cc12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2ccc(F)cc12,A0229a,A0503a
NC(=O)CCn1ccc2ccc(Cl)cc21,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2cc(Cl)ccc12,A0229a,A0503a
NC(=O)CCn1cc(CO)c2ccc(Cl)cc21,A0229a,A0503a
NC(=O)CCn1cc(C=O)c2ccc(Cl)cc21,A0229a,A0503a
N#Cc1cn(CCC(N)=O)c2cc(Cl)ccc12,A0229a,A0503a
NC(=O)CCc1csc(NC(=O)Cc2ccc3[nH]ccc3c2)n1,A0229a,A0503a
NC(=O)CCn1cc(S(=O)(=O)Cl)c2ccccc21,A0229a,A0503a
NC(=O)CCn1ccc2cc(F)ccc21,A0229a,A0503a
N#Cc1cn(CCC(N)=O)c2ccc(F)cc12,A0229a,A0503a
CNCc1cn(CCC(N)=O)c2ccc(F)cc12,A0229a,A0503a
CC(=O)c1cn(CCC(N)=O)c2ccc(F)cc12,A0229a,A0503a
CC(C)NCc1cn(CCC(N)=O)c2ccc(F)cc12,A0229a,A0503a
N#CCC(=O)c1cn(CCC(N)=O)c2ccc(F)cc12,A0229a,A0503a
NC(=O)CCn1cc(CC(=O)O)c2cc(F)ccc21,A0229a,A0503a
NC(=O)CCn1cc(C(=O)C(=O)O)c2cc(F)ccc21,A0229a,A0503a
CCCNCc1cn(CCC(N)=O)c2ccc(F)cc12,A0229a,A0503a
CCNCc1cn(CCC(N)=O)c2ccc(F)cc12,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2ccc(F)cc12,A0229a,A0503a
NC(=O)CCn1cc(C(=O)C(=O)O)c2ccccc21,A0229a,A0503a
NC(=O)CCn1cc(C(=O)C(=O)O)c2cc(F)ccc21,A0229a,A0503a
NC(=O)CCn1cc(C(=O)C(=O)O)c2c(F)cccc21,A0229a,A0503a
NC(=O)CCn1cc(C(=O)C(=O)O)c2ccc(F)cc21,A0229a,A0503a
NC(=O)CCc1nc(-c2cccc3[nH]ccc23)no1,A0229a,A0503a
NC(=O)CCn1ccc2c(F)cccc21,A0229a,A0503a
N#Cc1cn(CCC(N)=O)c2cccc(F)c12,A0229a,A0503a
NC(=O)CCn1cc(C(=O)C(=O)O)c2c(F)cccc21,A0229a,A0503a
N#CCC(=O)c1cn(CCC(N)=O)c2cccc(F)c12,A0229a,A0503a
NC(=O)CCn1cc(CC(=O)O)c2c(F)cccc21,A0229a,A0503a
CC(=O)Cc1cn(CCC(N)=O)c2cccc(F)c12,A0229a,A0503a
NC(=O)CCn1ccc2cc(Cl)ccc21,A0229a,A0503a
